name;address;rate;comments;type;lat;lon;errors
Kama Lino;Carrer de Guàrdia, 6, 08001 Barcelona;5.0;3;;41.377985;2.1714786;
FARMACIA-ORTOPEDIA NIETO CALM, M.DOLORS;Añadir sitio web;2.7;6;;41.3782198;2.1710916;
Sun Tattoo Barcelona;Carrer Nou de la Rambla, 9, 08001 Barcelona;4.7;49;;41.3786651;2.1717446;
Vestidos, trajes de Novia en Barcelona . MAFER NOVIAS;Añadir horario;4.2;41;;41.3780277;2.1710456;
Thot Llibres;Carrer del Marquès de Barberà, 13, 08001 Barcelona;5.0;1;;41.3786361;2.1703488;
Lady Green;08003, Carrer de Montanyans, 6, 08003 Barcelona;4.6;23;;41.3873901;2.1779341;
Marea Verde - Laboratorio Botánico;Ronda de Sant Pere, 40, 08010 Barcelona;4.8;16;;41.389929;2.17358;
Jorge’s Green Gallery;Carrer del Comerç, 15, 08003 Barcelona;5.0;1;;41.3873086;2.1798799;
Flamingo.Studio🦩🌿;Ronda de Sant Pere, 58, 08010 Barcelona;4.7;6;Floristería;41.3906876;2.1755799;
Passage Flowers;Carrer de Trafalgar, 26, 08003 Barcelona;;;;41.3887303;2.1737684;
CASA IDEA;Añadir sitio web;5.0;2;;41.3876029;2.1755895;
Lagutti Concept Boutique;Añadir sitio web;5.0;2;;41.3871682;2.1799546;
Laura Bofill Tormo;Añadir horario;;;;41.3852656;2.1785427;
Simply Basic Bomarket;Añadir número de teléfono;3.3;12;;41.3854416;2.1805683;
La Central del MUHBA;Añadir número de teléfono;4.5;71;;41.383752;2.1758043;
Cereria Subirà;Baixada de la Llibreteria, 7, 08002 Barcelona;4.6;132;;41.383824;2.1758833;
Coco Books;Añadir horario;;;;41.3906418;2.1755739;
Veneno en la piel;Carrer del Rec, 41, 08003 Barcelona;4.0;165;;41.385576;2.1804693;
Sans & Sans;Carrer de l'Argenteria, 59, 08003 Barcelona;4.5;171;;41.383601;2.1788183;
AL CARRER SKATE SHOP;Carrer d'en Tantarantana, 2, 08003 Barcelona;4.8;148;;41.3875785;2.178542;
Eugen Steier Joyas Jewelry Schmuck Joies;Carrer del Portal Nou, 24, 08003 Barcelona;5.0;133;;41.3887828;2.1786269;
🌷Ramos de flores HERBS BARCELONA;Carrer de Bergara, 10, 08002 Barcelona;4.5;35;;41.3861756;2.1662401;
Petit Jardí;Carrer Comtal, 26, 08002 Barcelona;4.6;27;;41.3866088;2.1715582;
The MUHBA Central;Baixada de la Llibreteria, 7, 08002 Barcelona;5.0;3;;41.3837943;2.1758317;
Floristeria Racó Verd Barcelona;Añadir sitio web;4.8;25;;41.3865862;2.1599875;
Floristeria Berta;Carrer de València, 147, 08011 Barcelona;4.1;63;;41.3876093;2.1541867;
Floristería Cattleya BCN;Carrer del Comte d'Urgell, 169, Local, 08036 Barcelona;4.3;6;;41.3878537;2.148539;
Noves Flors;Carrer de Casanova, 189, 08036 Barcelona;5.0;7;;41.3924316;2.1468644;
Pasanau Flors;Carrer del Rosselló, 114, 08036 Barcelona;4.2;28;;41.3885836;2.1490465;
Au nom de la rose Barcelona;Carrer de València, 203, 08007 Barcelona;4.4;119;;41.3901929;2.1574557;
K-Fló;Añadir sitio web;4.7;6;;41.3878876;2.1485192;
Floristeria;Añadir número de teléfono;;;Floristería;41.3879074;2.1419531;
Floristeria;Añadir número de teléfono;;;Floristería;41.3879074;2.1419531;
SOMIAFLORS;Añadir sitio web;;;;41.386808;2.1526639;
Bossvi;Carrer de París, 172, 08036 Barcelona;4.8;59;;41.3927756;2.1500968;
La Ventana Natural El Ninot;Añadir sitio web;4.8;6;;41.3878561;2.1525998;
Via Dolça;Carrer de Provença, 184, 08036 Barcelona;4.8;5;;41.3890698;2.1521165;
Mercadona;Carrer de Mallorca, 135 Mercat Municipal del Ninot, 08036 Barcelona;4.1;1900;;41.388032;2.1519303;
MUY MUCHO CASANOVA S.L.;Añadir horario;4.1;243;;41.3897171;2.1514263;
Floristeria Paris;Carrer de París, 50, BAJO, 08029 Barcelona;4.4;70;;41.3862658;2.1414292;
Floristería Vilaplana;Gran Via de les Corts Catalanes, 489, 08015 Barcelona;4.4;73;;41.380515;2.1538014;
Floristeria Contxa Márquez;C/ d'Aragó, 124, 08011 Barcelona;4.1;31;;41.384496;2.1528503;
Floristería Fiori - Venta de Flores a Domicilio;C/ d'Entença, 126, 08015 Barcelona;4.6;20;;41.381315;2.1464573;
Laura flors;C. del Consell de Cent, 103, 08015 Barcelona;4.6;29;;41.3805721;2.1492434;
Aro Verd;Carrer de València, 76, 08015 Barcelona;4.3;30;;41.3818968;2.1469852;
Mr. Florist Barcelona;Carrer de Viladomat, 144, 08015 Barcelona;4.9;20;;41.3824564;2.1517113;
Regalarflores.net Barcelona;Carrer de París, 50, 08029 Barcelona;2.8;5;;41.3861841;2.1416131;
María Concepción Márquez Ruiz;Añadir horario;1.0;1;;41.38449;2.1529998;
Floristería Navarro;Carrer de València, 320, 08009 Barcelona;4.3;3779;;41.3953974;2.1648931;
⭐ Floristería en Barcelona Ladyflor Servicio Interflora flores a domicilio;C/ de Bailèn, 169, 08037 Barcelona;4.0;37;;41.4005892;2.1632766;
Floristeria Ballester FB;Añadir sitio web;5.0;4;;41.4015478;2.1730843;
Floristería M. Carmen;Añadir sitio web;4.6;21;;41.3992387;2.1746703;
🌷 Flores a domicilio Herbs Barcelona;Carrer de Balmes, 171, 08006 Barcelona;4.4;248;;41.395876;2.1516343;
Floristeria María;Pg. de Sant Joan, 23, 08010 Barcelona;3.9;47;;41.392764;2.17571;
Floristeria Mari-Rosse Magallón;Carrer d'Aragó, 313-317 Mercat de la Concepció - Parada, 2E, 08009 Barcelona;5.0;1;;41.3961245;2.1659561;
Floristería Lloveras;Carrer de Pau Claris, 188, 08037 Barcelona;4.5;24;;41.3966386;2.1600005;
Muguet;Carrer de Puigmartí, 5, 08012 Barcelona;4.8;92;;41.4013846;2.1566085;
ANNABEL Floristeria;Añadir sitio web;3.8;30;;41.4016114;2.1510651;
Flores Navarro;Mercat de la Concepció, Carrer de València, 332, Parada, 1E, 08009 Barcelona;4.2;179;;41.3960141;2.1656589;
pètals;Carrer de Casp, 174, 08013 Barcelona;4.7;18;;41.3974358;2.1794473;
HORTEN FLORS;Añadir sitio web;5.0;7;;41.3986936;2.1710986;
Zelinda Milano;Carrer de Milà i Fontanals, 28, 08012 Barcelona;4.8;18;;41.4009267;2.160459;
Flor de Lis;Carrer del Cigne, 15, 08012 Barcelona;4.7;15;;41.4004688;2.1516611;
Flors Farrés;Añadir sitio web;4.1;23;;41.394888;2.1645382;
Flors Lloveras;Carrer de Pau Claris, 188, 08037 Barcelona;5.0;1;;41.3964591;2.1602033;
Espai de Teràpia Floral;Añadir horario;;;;41.3978722;2.1682022;
Valenflor S.A.;Añadir sitio web;;;;41.3953925;2.1656622;
Abril Flores Mil;Añadir horario;;;;41.3957043;2.1603973;
Mercat Y Floristeria;Añadir número de teléfono;;;;41.3958722;2.1659764;
Luxury Flower Shop In Barcelona Maison Des Fleurs;C/ d'Aragó, 317, 08009 Barcelona;5.0;31;;41.395955;2.1671491;
Fliristeria;Añadir número de teléfono;;;;41.3971016;2.161625;
Parking gratuito Floristería Navarro;Añadir sitio web;;;;41.3956565;2.1648777;
Navarro Florista;Carrer de Sancho de Ávila, 7, 08018 Barcelona;4.4;58;;41.3970403;2.1853614;
Marina Art Floral;Carrer de la Marina, 112, 08018 Barcelona;4.4;23;;41.3946808;2.1853103;
Flors i Plantes Mari Carmen;Añadir número de teléfono;3.0;2;;41.3992718;2.1746784;
Floristeria Al Detall S.L.;Añadir sitio web;3.4;40;;41.377671;2.157968;
Magda Flor SL;Carrer de Sepúlveda, 133, 08011 Barcelona;4.4;34;;41.3815472;2.1579281;
Ares Flors;Añadir sitio web;4.6;23;;41.3778037;2.1528135;
ROS Barcelona - Arte Floral;C. de Villarroel, 71, 08011 Barcelona;4.7;23;;41.3836794;2.1564249;
Bausà Flors s.l.u;Carrer de Viladomat, 60, 08015 Barcelona;4.9;40;;41.3776413;2.1580088;
Auro Floral Stories;Añadir número de teléfono;;;;41.381547;2.1579283;
@Rosesdeluxebcn;Añadir sitio web;;;;41.3807179;2.1576994;
Walkiflor Forné;Añadir sitio web;4.7;3;;41.3791356;2.1569955;
Masuniformes;Carrer de Sepúlveda, 109, 08015 Barcelona;4.2;536;;41.380631;2.1565729;
Fomento Profesional;Carrer del Comte Borrell, 115, 08015 Barcelona;3.7;15;;41.3801045;2.156477;
Floristería Tamarindo;Carrer de Rossend Arús, 18, Bajo, 08014 Barcelona;4.7;33;;41.373066;2.1351825;
Flors Yuca;Carrer de Sants Esquina Rambla de Badal, 259, 08028 Barcelona;4.1;33;;41.3753988;2.1280144;
Floristeria Emmy Sants;Carrer de Sant Medir, 5, 08028 Barcelona;4.0;10;;41.375011;2.1307023;
Doan Flores y Plantas;Añadir sitio web;4.4;28;;41.3618742;2.1375828;
Floristeria Veraflor;Añadir sitio web;4.4;20;;41.3752223;2.1539058;
Floristeria Lloveras Barceló;Añadir sitio web;4.6;82;;41.3752168;2.138341;
Flors Dolors;Añadir sitio web;3.5;4;;41.3749386;2.1416967;
SAUVAGE;Añadir horario;4.4;7;;41.3755079;2.1522177;
María Mercedes Barrios Paz;Añadir número de teléfono;3.3;6;;41.3772712;2.1319802;
FLORESTUDIO;Av. de Mistral, 71, 08015 Barcelona;4.7;26;;41.375686;2.1517223;
Delivrt. Comida a domicilio. Flores, Restaurantes, Moda, Fruta, etc;Añadir número de teléfono;4.8;6;;41.3772644;2.1488445;
Sala Flores Sants;Añadir horario;4.5;2;Centro de aprendizaje;41.3744761;2.1330506;
Domingo Domínguez Vasallo;Añadir horario;5.0;1;;41.3618168;2.1375339;
Emilio Rodríguez Ezcoriza;Añadir horario;;;;41.3718584;2.1464807;
Escola Disseny Floral i Paisatgisme;Carrer de Galileu, 11, 08028 Barcelona;4.5;14;;41.3766012;2.1334576;
Floristería Chavi Piñero;Añadir sitio web;4.5;4;;41.3612896;2.1376804;
BAUHAUS Barcelona;Passeig de la Zona Franca, 123, 08038 Barcelona;4.1;7676;;41.3577812;2.1383086;
María Dolores Padilla García;Añadir horario;;;;41.3623476;2.1375274;
Caprabo amb Eroski;Carrer de la Foneria, 14, 08038 Barcelona;3.6;105;;41.3596198;2.1349891;
Supermercados Charter;Passeig de la Zona Franca, 178, 180, 08038 Barcelona;3.0;1;;41.360438;2.1369713;
Estanco - Papelería Lage;Añadir sitio web;5.0;2;;41.3589921;2.1391456;
MRW;Avenida, Avinguda de la Granvia de l’Hospitalet, 13, 08908 L'Hospitalet de Llobregat, Barcelona;4.3;44;;41.3622062;2.1314213;
Mercat de la Marina;Passeig de la Zona Franca, 178, 08038 Barcelona;4.2;732;;41.3603896;2.1370014;
CLAREL;Carrer de la Mecànica, 17, 08038 Barcelona;3.9;21;;41.3590946;2.1354226;
L'anyada;Mercado de la Marina, Passeig de la Zona Franca, 178, 180, 08038 Barcelona;5.0;1;Tienda de ultramarinos;41.3604306;2.1370065;
Món Animal;Carrer de la Foneria, 43, 45, 08038 Barcelona;4.0;86;;41.3613011;2.1381941;
DBCN Shopping;Añadir horario;;;;41.3612225;2.1385966;
PELUTS;Añadir sitio web;;;;41.3592149;2.1389195;
Panaderia Macxipà;Añadir número de teléfono;4.4;13;;41.3624564;2.1354891;
Supermercados Sorli Sants-Montjuïc;Carrer de la Mare de Déu de Port, 291, 08038 Barcelona;3.8;174;;41.360145;2.1389582;
Pastisseria Forn Demaspan;Añadir número de teléfono;3.2;6;;41.3604885;2.1383393;
Xavier Poveda Pasamar;Añadir horario;4.9;13;;41.3657069;2.1248574;
Flores Manolo;Añadir horario;5.0;3;;41.3521649;2.1557608;
Hobby Flower;Añadir número de teléfono;5.0;3;;41.3462781;2.1168784;
Plantes i Flors Carmen;Añadir horario;4.0;1;;41.3657659;2.125084;
Condoms & Co;Añadir sitio web;2.8;15;;41.3586535;2.1271594;
Francisco Bravo Santos;Añadir horario;;;;41.3651902;2.1247852;
DESAYUNOS A DOMICILIO BY LAIA;TIENDA ONLINE, Gran Via de les Corts Catalanes, 149, 08014 Barcelona;4.8;78;;41.3663048;2.1346838;
Mercadona;Av. del Carrilet, 67, 08902 L'Hospitalet de Llobregat, Barcelona;3.9;2089;;41.3643084;2.1254438;
Mercadona;Passeig de la Zona Franca, 32, 08038 Barcelona;4.1;1245;;41.3540956;2.1421985;
Mercadona;Carrer d'Amadeu Torner, 24, 08902 L'Hospitalet de Llobregat, Barcelona;3.9;1170;;41.3596848;2.1221582;
MARFÀ & Co.;Avda. Gran Via, 75, 08908 L'Hospitalet de Llobregat, Barcelona;2.7;22;;41.3583782;2.1267729;
OBRADOR CANELA FINA SL;Añadir sitio web;4.9;23;;41.3613367;2.1245029;
Concesionario Oficial Hyundai Masterclas - Zona Franca;Passeig de la Zona Franca, 85, 08038 Barcelona;4.2;127;;41.3555437;2.1398196;
Cines Filmax Gran Vía - 4DX;Avinguda de la Granvia de l’Hospitalet, 75, 08908 L'Hospitalet de Llobregat, Barcelona;4.2;3851;;41.3587131;2.1271852;
Intimissimi;Añadir horario;4.2;31;;41.3587749;2.1273789;
LACOSTE;C.C. GRAN VÍA 2, Local B-61, Avinguda de la Granvia de l’Hospitalet, 75, 08908 L'Hospitalet de Llobregat, Barcelona;;;;41.3592321;2.1273732;
Play Extension;Local B82 (Q6, Avinguda de la Granvia de l’Hospitalet, 75, 08908 L'Hospitalet de Llobregat, Barcelona;4.3;74;;41.3592016;2.1279298;
TRAMAS HOSPITALET;Avinguda de la Granvia de l’Hospitalet, 75, local A86, 08908 Barcelona;4.1;39;;41.3593163;2.1280054;
Calzedonia;Calle De La Literatura, Calle Pedrosa A, 1-3 Local, A 061 Pol, 08908 L'Hospitalet de Llobregat, Barcelona;4.4;17;;41.3587749;2.1273789;
PACOMARTINEZ;Avinguda de la Granvia de l’Hospitalet, 1-3, 08908 L'Hospitalet de Llobregat, Barcelona;3.8;202;;41.3587202;2.1264445;
MOTOR LLANSÀ;Passeig de la Zona Franca, 61, 67, 08038 Barcelona;4.3;417;;41.3546158;2.1402462;
Mercadillo Zona Franca;Añadir número de teléfono;3.9;2447;;41.3523323;2.1344903;
Webycar;Passeig de la Zona Franca, 67, 08038 Barcelona;4.6;151;;41.3545596;2.1399492;
MRW;Carrer del Ferro, 6, 08038 Barcelona;3.4;45;;41.3520141;2.1361244;
Acciona Facility Services;Passeig de la Zona Franca, 69, 08038 Barcelona;3.2;56;;41.3550546;2.1401822;
Acciona Forwarding;Añadir horario;3.2;5;;41.3550106;2.1402279;
Casa Azul;Añadir horario;5.0;2;;41.3526902;2.138895;
Alvin Networks;Carrer del Cobalt, 16, 08038 Barcelona;4.6;11;;41.354213;2.1376951;
envialia;Añadir número de teléfono;;;;41.3540874;2.1413607;
Floristeria Cottage;Carrer del Parlament, 10, 08015 Barcelona;4.7;35;;41.375615;2.1594293;
Floristería;Añadir número de teléfono;;;Floristería;41.3771857;2.1645024;
La Merçe;Añadir sitio web;4.2;13;;41.3728162;2.1674543;
Floriservice;Paseo de La Exposición 87-91 PASSEIG DE L'EXPOSISCIO 91 PASSEIG DE L'EXPOSICIO 87, 08004 Barcelona;4.8;35;;41.3713898;2.1581688;
Floristeria Agarimo Barcelona;C/ de Violant d'Hongria Reina d'Aragó, 93, 08028 Barcelona;5.0;11;;41.3791891;2.1291049;
Floristeria Pl. Centre;Añadir sitio web;4.2;5;;41.3816589;2.1335041;
Jardí Marina;Carrer de Lluçà, 34, 08028 Barcelona;4.7;22;;41.3823334;2.1287615;
Flors i plantes Valls & Grau. Arranjaments terrasses Restaurants. Aquest es Can Punyetes. C/ciutat de balaguer 50;Rambla del Brasil, 40 Bis, Local 3, 08028 Barcelona;4.8;8;;41.3781721;2.1277947;
Floratelie;Av. de Madrid, 215, 08014 Barcelona;5.0;13;;41.3817966;2.1329334;
Floratelie;C/ de Violant d'Hongria Reina d'Aragó, 165, 08014 Barcelona;5.0;13;;41.3808955;2.1333654;
Plantas Bazar Oriental;Añadir número de teléfono;4.4;11;;41.3795252;2.13223;
Teleflora;Av. de Josep Tarradellas, 8, 10, 08029 Barcelona;;;;41.3813908;2.1405548;
Sweet & Flower;Añadir número de teléfono;4.8;19;;41.3825235;2.1295711;
Manantial de Salud;Carrer del Vallespir, 82, 08014 Barcelona;4.2;78;;41.3800085;2.1346094;
MEDICALSEEDS S.L.;Carrer de Galileu, 98, 08028 Barcelona;4.7;9;;41.3787539;2.1325808;
Minna no Kimono;Carrer de Rosés, 67-69, Entresuelo 6, 08028 Barcelona;4.9;81;;41.3787647;2.1321301;
Silviaribas;Añadir horario;5.0;1;;41.3790768;2.1341239;
Juguetes Tió Sam Galileu;Carrer de Galileu, 106, 08028 Barcelona;4.4;187;;41.37899;2.1324863;
Floristerías Neus II;Añadir sitio web;4.4;15;;41.3747339;2.1183637;
Floristería Sala;Carrer del Montseny, 51, 08903 L'Hospitalet de Llobregat, Barcelona;4.8;26;;41.3717257;2.1206304;
Flors Lin;Añadir número de teléfono;5.0;10;;41.3783799;2.1254984;
Flowers by Bornay;Añadir horario;4.5;92;;41.3786563;2.1300556;
Floristeria Deltaquari;Carrer de la Riera Blanca, 85, 87, 08028 Barcelona;5.0;4;;41.3727471;2.1238041;
World Trade Center Barcelona;1ª planta Edif. Este, Moll de Barcelona, s/n, 08039 Barcelona;4.1;1937;;41.3713114;2.1795183;
Rillo Suministros de Floristería;Añadir sitio web;;;;41.3303443;2.1345935;
Reilaflor S.A.;Añadir horario;;;;41.3306576;2.1130925;
Gros Mercat;C. Longitudinal, 7 A-26, Nau 22, 08040 Barcelona;3.6;30;;41.3305531;2.118699;
MRW;Carrer Major, s/n, 08040 Barcelona;1.0;1;;41.3314417;2.1134479;
Supermercados Charter;POLÍGONO IND. ZONA FRANCA, CARRER 29 DEL BZ, 50-62, 08040 Barcelona;3.7;6;;41.3360965;2.1289958;
Zeleris;Avinguda número 4 del Parc Logístic de la Zona Franca, 9-11, 08040, 08040, 08040, Barcelona;1.4;525;;41.339096;2.1275966;
FLORISTERÍa THE LOTUS FLOWER;Carrer de la Indústria, 171, 08025 Barcelona;4.8;18;;41.4105744;2.1732512;
Flors Elen;Carrer de los Castillejos, 354, 08025 Barcelona;4.7;20;;41.411318;2.1700173;
Flors i Plantes Mariona;Añadir horario;4.6;11;;41.4103188;2.1691116;
Floristeria Margaret;Carrer de València, 567, 08026 Barcelona;4.0;13;;41.407995;2.1812793;
FLORISTERÍA BOUQUETS & Co.;Carrer de los Castillejos, 250, local 2, 08013 Barcelona;4.8;60;;41.4058985;2.1771437;
Floristeria Hesp;Añadir sitio web;5.0;3;;41.4050309;2.1756652;
Floristeria Soriano;Avinguda de Gaudí, 6, 08025 Barcelona;4.0;23;;41.4050386;2.1723844;
Orquidea Flor;Añadir sitio web;3.7;11;;41.4071579;2.1692197;
Ātmā Flors & Art;Carrer de Padilla, 254, 08025 Barcelona;4.8;17;;41.4064077;2.1742577;
Floristeria La Primula;Añadir sitio web;4.6;30;;41.4099713;2.1623288;
Calendula Espai Floral;Añadir sitio web;5.0;14;;41.4099325;2.1782142;
Floristeria NUNE;Carrer de Sant Antoni Maria Claret, 42, 08025 Barcelona;4.8;77;;41.4047825;2.1639198;
Floristería Flowers Bcn;Carrer de Sant Antoni Maria Claret, 100, 08025 Barcelona;4.7;23;;41.4067401;2.1664702;
Tundra Flors, Floristeria;C/ d'Aragó, 458, 08013 Barcelona;4.7;51;;41.4028842;2.1772637;
OhFlor;Añadir número de teléfono;4.0;4;;41.4057635;2.1714808;
floristeria Petitmuguet Barcelona;Pg. de Sant Joan, 190, 08037 Barcelona;4.6;20;;41.4038336;2.1621041;
UkeFlors & BonBee: Flores a Domicilio en Barcelona;Carrer de Pi i Margall, 1, 08024 Barcelona;4.6;110;;41.406002;2.1605643;
Sucs. De S. Daranas Mayorista De Flores;Añadir número de teléfono;;;;41.4015926;2.1727907;
Fb Flors;Añadir horario;;;Floristería;41.4165302;2.1791918;
Sarria Flors;Carrer del Dr. Fleming, 29, 08017 Barcelona;4.3;9;;41.3948134;2.1319106;
Flors & GO!;Avinguda Diagonal, 557, 08029 Barcelona;4.1;130;;41.3894502;2.1326208;
Funeflor - Floristería para entierros y funerales;Av. de Joan XXIII, 17, 08028 Barcelona;1.0;1;;41.383766;2.1194567;
PLANTES I FLORS JOAN GÜELL;Añadir sitio web;4.0;17;;41.3829942;2.1293536;
Dendros - florista - jardiner;Añadir sitio web;5.0;2;;41.387303;2.1328253;
LA PLANTETA;Carrer de Sabino Arana, 12, 08028 Barcelona;4.8;6;;41.3854666;2.1236951;
Floristeria Safua;Carrer de Santa Amèlia, 45 Esquina, 08034 Barcelona;5.0;4;;41.3945919;2.1224441;
Singular Envit;Carrer de Manuel de Falla, 27, 08034 Barcelona;4.6;10;;41.3943557;2.1241864;
Plantas Pili;Añadir sitio web;5.0;4;;41.3947251;2.1188754;
Flores Pepe Oliva;Añadir sitio web;4.8;4;;41.3907019;2.1211538;
Tavola Floral Design;Carrer de Rafael Batlle, 26, 08017 Barcelona;4.6;34;;41.3964301;2.1247313;
Flores de Vida;Añadir horario;;;;41.3880025;2.1315001;
Azoca Concept Store;Añadir categoría;4.9;8;;41.395342;2.1223997;
FLOWERSBCN;Añadir horario;;;;41.3965447;2.1323833;
